,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
414,XGBoost Regressor,2626.836406249997,,,1104.0,,,
415,XGBoost Regressor,2626.836406249997,,,1807.0,,,
416,FNN Regressor,33227.84675170898,,,,330.0,32.0,0.003
417,FNN Regressor,33171.64461853027,,,,410.0,32.0,0.003
418,FNN Regressor,33263.785319824216,,,,280.0,32.0,0.003
419,FNN Regressor,32188.32822753906,,,,280.0,32.0,0.01
420,FNN Regressor,33274.29883148193,,,,280.0,32.0,0.003
421,FNN Regressor,33356.56277348518,,,,280.0,32.0,0.0003
422,FNN Regressor,33355.03143741607,,,,340.0,32.0,0.0003
423,Logistic Regressor,33358.42967315435,,,,330.0,16.0,0.0001
424,Logistic Regressor,33359.00392449319,,,,330.0,16.0,0.0001
425,Logistic Regressor,33358.2814402771,,,,330.0,16.0,0.0003
426,Logistic Regressor,33356.458582658764,,,,450.0,16.0,0.0003
427,XGBoost Regressor,2626.836406249997,,,1651.0,,,
428,XGBoost Regressor,2626.836406249997,,,1880.0,,,
429,XGBoost Regressor,2626.836406249997,,,968.0,,,
430,XGBoost Regressor,2626.836406249997,,,918.0,,,
431,XGBoost Regressor,2626.836406249997,,,1206.0,,,
432,XGBoost Regressor,2626.836406249997,,,314.0,,,
433,XGBoost Regressor,2626.836406249997,,,412.0,,,
434,XGBoost Regressor,2626.836406249997,,,898.0,,,
435,XGBoost Regressor,2626.836406249997,,,1845.0,,,
436,XGBoost Regressor,2626.836406249997,,,1295.0,,,
437,XGBoost Regressor,2626.836406249997,,,608.0,,,
